date,geoid,county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2023-02-22,USA-72999,Unknown,Puerto Rico,-46,24.14,,0,0,
2023-02-22,USA-72153,Yauco,Puerto Rico,0,5.29,15.61,0,0,0
2023-02-22,USA-72151,Yabucoa,Puerto Rico,1,3.14,9.77,0,0,0
2023-02-22,USA-72149,Villalba,Puerto Rico,4,1.43,6.65,0,0,0
2023-02-22,USA-72147,Vieques,Puerto Rico,0,1,11.96,0,0,0
2023-02-22,USA-72145,Vega Baja,Puerto Rico,6,9.14,18.22,0,0,0
2023-02-22,USA-72143,Vega Alta,Puerto Rico,3,5.29,14.76,0,0,0
2023-02-22,USA-72141,Utuado,Puerto Rico,6,4.57,16.6,0,0,0
2023-02-22,USA-72139,Trujillo Alto,Puerto Rico,8,8.86,13.89,0,0,0
2023-02-22,USA-72137,Toa Baja,Puerto Rico,12,8.43,11.29,0,0,0
2023-02-22,USA-72135,Toa Alta,Puerto Rico,7,7.86,11.05,0,0,0
2023-02-22,USA-72133,Santa Isabel,Puerto Rico,3,2.71,12.9,0,0,0
2023-02-22,USA-72131,San Sebastian,Puerto Rico,6,4.43,12.42,0,0,0
2023-02-22,USA-72129,San Lorenzo,Puerto Rico,7,6.14,17.11,0,0,0
2023-02-22,USA-72127,San Juan,Puerto Rico,22,37.29,11.62,0,0,0
2023-02-22,USA-72125,San German,Puerto Rico,0,5.14,17.01,0,0,0
2023-02-22,USA-72123,Salinas,Puerto Rico,0,3.29,12.13,0,0,0
2023-02-22,USA-72121,Sabana Grande,Puerto Rico,3,2.29,10.51,0,0,0
2023-02-22,USA-72119,Rio Grande,Puerto Rico,5,7.43,15.51,0,0,0
2023-02-22,USA-72117,Rincon,Puerto Rico,0,1.25,9.17,0,0,0
2023-02-22,USA-72115,Quebradillas,Puerto Rico,8,4.29,18.77,0,0,0
2023-02-22,USA-72113,Ponce,Puerto Rico,18,17.86,13.41,0,0,0
2023-02-22,USA-72111,Penuelas,Puerto Rico,2,2.14,11.04,0,0,0
2023-02-22,USA-72109,Patillas,Puerto Rico,7,2.71,16.64,0,0,0
2023-02-22,USA-72107,Orocovis,Puerto Rico,5,2.57,12.72,0,0,0
2023-02-22,USA-72105,Naranjito,Puerto Rico,6,3.43,12.6,0,0,0
2023-02-22,USA-72103,Naguabo,Puerto Rico,6,5.29,20.83,0,0,0
2023-02-22,USA-72101,Morovis,Puerto Rico,0,4,13.3,0,0,0
2023-02-22,USA-72099,Moca,Puerto Rico,7,5.43,15.55,0,0,0
2023-02-22,USA-72097,Mayaguez,Puerto Rico,5,9.86,13.69,0,0,0
2023-02-22,USA-72095,Maunabo,Puerto Rico,1,1.71,16.53,0,0,0
2023-02-22,USA-72093,Maricao,Puerto Rico,0,1.25,23.04,0,0,0
2023-02-22,USA-72091,Manati,Puerto Rico,1,5.57,14.9,0,0,0
2023-02-22,USA-72089,Luquillo,Puerto Rico,3,3.14,17.86,0,0,0
2023-02-22,USA-72087,Loiza,Puerto Rico,2,2.14,8.68,0,0,0
2023-02-22,USA-72085,Las Piedras,Puerto Rico,3,4.43,12.15,0,0,0
2023-02-22,USA-72083,Las Marias,Puerto Rico,1,1,12.56,0,0,0
